#KEY	MGYA00143469-SRS2301826	MGYA00143475-SRS2301830	MGYA00143477-SRS2301825	MGYA00143478-SRS2301829	MGYA00143482-SRS2301824	MGYA00143483-SRS2301827	MGYA00143486-SRS2301823	MGYA00143488-SRS2301828	MGYA00150693-SRS675025	MGYA00150694-SRS675026	MGYA00159985-DRS049572	MGYA00159986-DRS049570	MGYA00159987-DRS049539	MGYA00159988-DRS049589	MGYA00159989-DRS049532	MGYA00159990-DRS049545	MGYA00159991-DRS049564	MGYA00159992-DRS049581	MGYA00159993-DRS049567	MGYA00159994-DRS049578	MGYA00159995-DRS049527	MGYA00159996-DRS049537	MGYA00159997-DRS049548	MGYA00159998-DRS049592	MGYA00159999-DRS049540	MGYA00160000-DRS049555	MGYA00160001-DRS049573	MGYA00160002-DRS049554	MGYA00160003-DRS049558	MGYA00160004-DRS049533	MGYA00160005-DRS049566	MGYA00160006-DRS049568	MGYA00160007-DRS049577	MGYA00160008-DRS049541	MGYA00160009-DRS049551	MGYA00160010-DRS049534	MGYA00160011-DRS049530	MGYA00160012-DRS049531	MGYA00160013-DRS049542	MGYA00160014-DRS049538	MGYA00160015-DRS049561	MGYA00160016-DRS049536	MGYA00160017-DRS049559	MGYA00160018-DRS049535	MGYA00160019-DRS049590	MGYA00160020-DRS049544	MGYA00160021-DRS049563	MGYA00160022-DRS049579	MGYA00160023-DRS049553	MGYA00160024-DRS049571	MGYA00160025-DRS049574	MGYA00160026-DRS049549	MGYA00160027-DRS049584	MGYA00160028-DRS049546	MGYA00160029-DRS049565	MGYA00160030-DRS049562	MGYA00160031-DRS049528	MGYA00160032-DRS049585	MGYA00160033-DRS049560	MGYA00160034-DRS049575	MGYA00160035-DRS049586	MGYA00160036-DRS049547	MGYA00160037-DRS049587	MGYA00160038-DRS049576	MGYA00160039-DRS049580	MGYA00160040-DRS049583	MGYA00160041-DRS049550	MGYA00160042-DRS049591	MGYA00160043-DRS049582	MGYA00160044-DRS049588	MGYA00160045-DRS049557	MGYA00160046-DRS049543	MGYA00160047-DRS049556	MGYA00160048-DRS049552	MGYA00160049-DRS049569	MGYA00160050-DRS049529	MGYA00168224-DRS020339	MGYA00168225-DRS020325	MGYA00168226-DRS020225	MGYA00168227-DRS020211	MGYA00168228-DRS020340	MGYA00168229-DRS020210	MGYA00168230-DRS020235	MGYA00168231-DRS020285	MGYA00168232-DRS020320	MGYA00168233-DRS020342	MGYA00168234-DRS020337	MGYA00168235-DRS020228	MGYA00168236-DRS020308	MGYA00168237-DRS020266	MGYA00168238-DRS020232	MGYA00168239-DRS020355	MGYA00168240-DRS020275	MGYA00168241-DRS020306	MGYA00168242-DRS020244	MGYA00168243-DRS020348	MGYA00168244-DRS020345	MGYA00168245-DRS020294	MGYA00168246-DRS020272	MGYA00168247-DRS020236	MGYA00168248-DRS020194	MGYA00168249-DRS020233	MGYA00168250-DRS020307	MGYA00168251-DRS020303	MGYA00168252-DRS020298	MGYA00168253-DRS020218	MGYA00168254-DRS020333	MGYA00168255-DRS020202	MGYA00168256-DRS020220	MGYA00168257-DRS020288	MGYA00168258-DRS020231	MGYA00168259-DRS020269	MGYA00168260-DRS020245	MGYA00168261-DRS020274	MGYA00168262-DRS020257	MGYA00168263-DRS020227	MGYA00168264-DRS020201	MGYA00168265-DRS020237	MGYA00168266-DRS020276	MGYA00168267-DRS020287	MGYA00168268-DRS020317	MGYA00168269-DRS020283	MGYA00168270-DRS020331	MGYA00168271-DRS020322	MGYA00168272-DRS020203	MGYA00168273-DRS020200	MGYA00168274-DRS020223	MGYA00168275-DRS020254	MGYA00168276-DRS020193	MGYA00168277-DRS020195	MGYA00168278-DRS020321	MGYA00168279-DRS020260	MGYA00168280-DRS020359	MGYA00168281-DRS020315	MGYA00168282-DRS020346	MGYA00168283-DRS020230	MGYA00168284-DRS020197	MGYA00168285-DRS020341	MGYA00168286-DRS020290	MGYA00168287-DRS020311	MGYA00168288-DRS020215	MGYA00168289-DRS020226	MGYA00168290-DRS020299	MGYA00168291-DRS020310	MGYA00168292-DRS020273	MGYA00168293-DRS020286	MGYA00168294-DRS020239	MGYA00168295-DRS020259	MGYA00168296-DRS020326	MGYA00168297-DRS020196	MGYA00168298-DRS020262	MGYA00168299-DRS020213	MGYA00168300-DRS020216	MGYA00168301-DRS020255	MGYA00168302-DRS020353	MGYA00168303-DRS020293	MGYA00168304-DRS020206	MGYA00168305-DRS020222	MGYA00168306-DRS020279	MGYA00168307-DRS020343	MGYA00168308-DRS020265	MGYA00168309-DRS020191	MGYA00168310-DRS020327	MGYA00168311-DRS020323	MGYA00168312-DRS020214	MGYA00168313-DRS020319	MGYA00168314-DRS020251	MGYA00168315-DRS020302	MGYA00168316-DRS020205	MGYA00168317-DRS020207	MGYA00168318-DRS020329	MGYA00168319-DRS020212	MGYA00168320-DRS020219	MGYA00168321-DRS020350	MGYA00168322-DRS020324	MGYA00168323-DRS020204	MGYA00168324-DRS020347	MGYA00168325-DRS020267	MGYA00168326-DRS020295	MGYA00168327-DRS020243	MGYA00168328-DRS020349	MGYA00168329-DRS020296	MGYA00168330-DRS020330	MGYA00168331-DRS020268	MGYA00168332-DRS020354	MGYA00168333-DRS020352	MGYA00168334-DRS020328	MGYA00168335-DRS020292	MGYA00168336-DRS020234	MGYA00168337-DRS020297	MGYA00168338-DRS020291	MGYA00168339-DRS020284	MGYA00168340-DRS020192	MGYA00168341-DRS020313	MGYA00168342-DRS020209	MGYA00168343-DRS020357	MGYA00168344-DRS020301	MGYA00168345-DRS020250	MGYA00168346-DRS020344	MGYA00168347-DRS020241	MGYA00168348-DRS020335	MGYA00168349-DRS020270	MGYA00168350-DRS020282	MGYA00168351-DRS020246	MGYA00168352-DRS020360	MGYA00168353-DRS020249	MGYA00168354-DRS020305	MGYA00168355-DRS020314	MGYA00168356-DRS020356	MGYA00168357-DRS020229	MGYA00168358-DRS020309	MGYA00168359-DRS020248	MGYA00168360-DRS020258	MGYA00168361-DRS020252	MGYA00168362-DRS020240	MGYA00168363-DRS020316	MGYA00168364-DRS020304	MGYA00168365-DRS020261	MGYA00168366-DRS020253	MGYA00168367-DRS020217	MGYA00168368-DRS020332	MGYA00168369-DRS020351	MGYA00168370-DRS020271	MGYA00168371-DRS020334	MGYA00168372-DRS020247	MGYA00168373-DRS020238	MGYA00168374-DRS020242	MGYA00168375-DRS020277	MGYA00168376-DRS020281	MGYA00168377-DRS020208	MGYA00168378-DRS020264	MGYA00168379-DRS020338	MGYA00168380-DRS020256	MGYA00168381-DRS020278	MGYA00168382-DRS020221	MGYA00168383-DRS020312	MGYA00168384-DRS020300	MGYA00168385-DRS020280	MGYA00168386-DRS020224	MGYA00168387-DRS020318	MGYA00168388-DRS020289	MGYA00168389-DRS020336	MGYA00168390-DRS020199	MGYA00168391-DRS020263	MGYA00168392-DRS020358	MGYA00168393-DRS020198	MGYA00168487-DRS029413	MGYA00168488-DRS029354	MGYA00168489-DRS029282	MGYA00168490-DRS029258	MGYA00168491-DRS029411	MGYA00168492-DRS029366	MGYA00168493-DRS029394	MGYA00168494-DRS029257	MGYA00168495-DRS029248	MGYA00168496-DRS029405	MGYA00168497-DRS029382	MGYA00168498-DRS029418	MGYA00168499-DRS029232	MGYA00168500-DRS029317	MGYA00168501-DRS029283	MGYA00168502-DRS029389	MGYA00168503-DRS029263	MGYA00168504-DRS029415	MGYA00168505-DRS029343	MGYA00168506-DRS029316	MGYA00168507-DRS029236	MGYA00168508-DRS029410	MGYA00168509-DRS029392	MGYA00168510-DRS029311	MGYA00168511-DRS029341	MGYA00168512-DRS029367	MGYA00168513-DRS029322	MGYA00168514-DRS029313	MGYA00168515-DRS029285	MGYA00168516-DRS029338	MGYA00168517-DRS029348	MGYA00168518-DRS029281	MGYA00168519-DRS029264	MGYA00168520-DRS029234	MGYA00168521-DRS029388	MGYA00168522-DRS029306	MGYA00168523-DRS029393	MGYA00168524-DRS029332	MGYA00168525-DRS029297	MGYA00168526-DRS029414	MGYA00168527-DRS029350	MGYA00168528-DRS029290	MGYA00168529-DRS029361	MGYA00168530-DRS029373	MGYA00168531-DRS029274	MGYA00168532-DRS029383	MGYA00168533-DRS029246	MGYA00168534-DRS029308	MGYA00168535-DRS029271	MGYA00168536-DRS029278	MGYA00168537-DRS029326	MGYA00168538-DRS029245	MGYA00168539-DRS029319	MGYA00168540-DRS029401	MGYA00168541-DRS029352	MGYA00168542-DRS029305	MGYA00168543-DRS029265	MGYA00168544-DRS029298	MGYA00168545-DRS029253	MGYA00168546-DRS029398	MGYA00168547-DRS029364	MGYA00168548-DRS029363	MGYA00168549-DRS029356	MGYA00168550-DRS029309	MGYA00168551-DRS029252	MGYA00168552-DRS029299	MGYA00168553-DRS029374	MGYA00168554-DRS029269	MGYA00168555-DRS029287	MGYA00168556-DRS029399	MGYA00168557-DRS029288	MGYA00168558-DRS029380	MGYA00168559-DRS029310	MGYA00168560-DRS029266	MGYA00168561-DRS029339	MGYA00168562-DRS029335	MGYA00168563-DRS029260	MGYA00168564-DRS029344	MGYA00168565-DRS029237	MGYA00168566-DRS029261	MGYA00168567-DRS029412	MGYA00168568-DRS029276	MGYA00168569-DRS029329	MGYA00168570-DRS029247	MGYA00168571-DRS029353	MGYA00168572-DRS029359	MGYA00168573-DRS029307	MGYA00168574-DRS029384	MGYA00168575-DRS029377	MGYA00168576-DRS029365	MGYA00168577-DRS029279	MGYA00168578-DRS029355	MGYA00168579-DRS029243	MGYA00168580-DRS029369	MGYA00168581-DRS029280	MGYA00168582-DRS029229	MGYA00168583-DRS029270	MGYA00168584-DRS029371	MGYA00168585-DRS029321	MGYA00168586-DRS029385	MGYA00168587-DRS029334	MGYA00168588-DRS029325	MGYA00168589-DRS029378	MGYA00168590-DRS029268	MGYA00168591-DRS029368	MGYA00168592-DRS029404	MGYA00168593-DRS029284	MGYA00168594-DRS029358	MGYA00168595-DRS029390	MGYA00168596-DRS029228	MGYA00168597-DRS029333	MGYA00168598-DRS029396	MGYA00168599-DRS029292	MGYA00168600-DRS029324	MGYA00168601-DRS029275	MGYA00168602-DRS029391	MGYA00168603-DRS029238	MGYA00168604-DRS029340	MGYA00168605-DRS029301	MGYA00168606-DRS029255	MGYA00168607-DRS029240	MGYA00168608-DRS029267	MGYA00168609-DRS029295	MGYA00168610-DRS029408	MGYA00168611-DRS029328	MGYA00168612-DRS029314	MGYA00168613-DRS029421	MGYA00168614-DRS029331	MGYA00168615-DRS029417	MGYA00168616-DRS029351	MGYA00168617-DRS029403	MGYA00168618-DRS029406	MGYA00168619-DRS029233	MGYA00168620-DRS029293	MGYA00168621-DRS029400	MGYA00168622-DRS029303	MGYA00168623-DRS029296	MGYA00168624-DRS029409	MGYA00168625-DRS029419	MGYA00168626-DRS029370	MGYA00168627-DRS029244	MGYA00168628-DRS029397	MGYA00168629-DRS029315	MGYA00168630-DRS029302	MGYA00168631-DRS029381	MGYA00168632-DRS029251	MGYA00168633-DRS029272	MGYA00168634-DRS029262	MGYA00168635-DRS029420	MGYA00168636-DRS029294	MGYA00168637-DRS029376	MGYA00168638-DRS029357	MGYA00168639-DRS029387	MGYA00168640-DRS029379	MGYA00168641-DRS029386	MGYA00168642-DRS029330	MGYA00168643-DRS029273	MGYA00168644-DRS029254	MGYA00168645-DRS029416	MGYA00168646-DRS029249	MGYA00168647-DRS029259	MGYA00168648-DRS029336	MGYA00168649-DRS029235	MGYA00168650-DRS029362	MGYA00168651-DRS029231	MGYA00168652-DRS029318	MGYA00168653-DRS029239	MGYA00168654-DRS029242	MGYA00168655-DRS029342	MGYA00168656-DRS029256	MGYA00168657-DRS029304	MGYA00168658-DRS029312	MGYA00168659-DRS029375	MGYA00168660-DRS029360	MGYA00168661-DRS029349	MGYA00168662-DRS029407	MGYA00168663-DRS029346	MGYA00168664-DRS029230	MGYA00168665-DRS029320	MGYA00168666-DRS029402	MGYA00168667-DRS029241	MGYA00168668-DRS029337	MGYA00168669-DRS029327	MGYA00168670-DRS029291	MGYA00168671-DRS029323	MGYA00168672-DRS029277	MGYA00168673-DRS029395	MGYA00168674-DRS029347	MGYA00168675-DRS029345	MGYA00168676-DRS029250	MGYA00168677-DRS029300	MGYA00168678-DRS029289	MGYA00168679-DRS029286	MGYA00168680-DRS029372	MGYA00185663-ERS2517180	MGYA00185664-ERS2517188	MGYA00185665-ERS2517228	MGYA00185666-ERS2517189	MGYA00185667-ERS2517209	MGYA00185668-ERS2517223	MGYA00185669-ERS2517176	MGYA00185670-ERS2517210	MGYA00185671-ERS2517201	MGYA00185672-ERS2517171	MGYA00185673-ERS2517182	MGYA00185674-ERS2517204	MGYA00185675-ERS2517174	MGYA00185676-ERS2517186	MGYA00185677-ERS2517194	MGYA00185678-ERS2517190	MGYA00185679-ERS2517172	MGYA00185680-ERS2517208	MGYA00185681-ERS2517195	MGYA00185682-ERS2517198	MGYA00185683-ERS2517203	MGYA00185684-ERS2517191	MGYA00185685-ERS2517181	MGYA00185686-ERS2517185	MGYA00185687-ERS2517187	MGYA00185688-ERS2517207	MGYA00185689-ERS2517226	MGYA00185690-ERS2517169	MGYA00185691-ERS2517183	MGYA00185692-ERS2517178	MGYA00185693-ERS2517215	MGYA00185694-ERS2517219	MGYA00185695-ERS2517177	MGYA00185696-ERS2517202	MGYA00185697-ERS2517211	MGYA00185698-ERS2517213	MGYA00185699-ERS2517222	MGYA00185700-ERS2517224	MGYA00185701-ERS2517206	MGYA00185702-ERS2517199	MGYA00185703-ERS2517173	MGYA00185704-ERS2517193	MGYA00185705-ERS2517227	MGYA00185706-ERS2517197	MGYA00185707-ERS2517170	MGYA00185708-ERS2517216	MGYA00185709-ERS2517196	MGYA00185710-ERS2517175	MGYA00185711-ERS2517205	MGYA00185712-ERS2517214	MGYA00185713-ERS2517192	MGYA00185714-ERS2517179	MGYA00185715-ERS2517184	MGYA00185716-ERS2517225	MGYA00185717-ERS2517220	MGYA00185718-ERS2517218	MGYA00185719-ERS2517212	MGYA00185720-ERS2517200	MGYA00185721-ERS2517217	MGYA00185722-ERS2517221
k_taxa_	19.931568	19.931568	19.931568	19.931568	19.931568	19.931568	19.931568	19.931568	19.931567	19.931567	19.931554	19.931551	19.931553	19.931556	19.931551	19.931553	19.931553	19.931558	19.931554	19.931549	19.931553	19.931562	19.931557	19.931548	19.931555	19.931553	19.931553	19.931550	19.931553	19.931553	19.931552	19.931554	19.931551	19.931551	19.931551	19.931550	19.931564	19.931554	19.931548	19.931565	19.931554	19.931554	19.931556	19.929400	19.931560	19.931553	19.931551	19.931555	19.931553	19.931555	19.931552	19.931555	19.931555	19.931556	19.931553	19.931556	19.931553	19.931536	19.931554	19.931553	19.931537	19.931557	19.931557	19.931555	19.931554	19.931553	19.931553	19.931542	19.931555	19.931556	19.931553	19.931553	19.931536	19.931552	19.931554	19.931549	19.931553	19.931553	19.931551	19.931552	19.931553	19.931221	19.931547	19.931552	19.931553	19.931549	19.931552	19.931552	19.931555	19.931553	19.931554	19.931549	19.931553	19.931383	19.931551	19.931451	19.931552	19.931551	19.931488	19.931547	19.931554	19.931551	19.931555	19.931550	19.931552	19.931551	19.931474	19.931527	19.931553	19.931552	19.931554	19.931553	19.931539	19.931556	19.931552	19.931552	19.931528	19.931552	19.931553	19.931552	19.931552	19.931555	19.931555	19.931552	19.931551	19.931554	19.931553	19.931524	19.931554	19.931551	19.931552	19.931556	19.931556	19.931502	19.931552	19.931553	19.931556	19.931549	19.931555	19.931540	19.931552	19.931551	19.931467	19.931548	19.931556	19.931552	19.931549	19.931556	19.931553	19.931551	19.931554	19.931552	19.931552	19.931552	19.931544	19.931551	19.931539	19.931550	19.931550	19.931551	19.931553	19.931552	19.931549	19.931553	19.931552	19.931553	19.931548	19.931554	19.931539	19.931547	19.931552	19.931552	19.931553	19.931552	19.931553	19.931551	19.931451	19.931552	19.931552	19.931551	19.931552	19.931552	19.931552	19.931552	19.931544	19.931552	19.931549	19.931553	19.931551	19.931552	19.931553	19.931555	19.931552	19.931549	19.931223	19.931556	19.931554	19.931533	19.931551	19.931552	19.931553	19.931552	19.931552	19.931539	19.931556	19.931533	19.931380	19.931549	19.931549	19.931553	19.931549	19.931542	19.931552	19.931548	19.931549	19.931502	19.931549	19.931554	19.931525	19.931551	19.931555	19.931552	19.931489	19.931474	19.931542	19.931552	19.931552	19.931551	19.931553	19.931547	19.931554	19.931552	19.931552	19.931551	19.931550	19.931540	19.931466	19.931550	19.931553	19.931552	19.931555	19.931553	19.931554	19.931554	19.931556	19.931556	19.931561	19.931561	19.931562	19.931554	19.931561	19.931562	19.931556	19.931556	19.931554	19.931561	19.931561	19.931561	19.931555	19.931561	19.931562	19.931558	19.931553	19.931562	19.931562	19.931561	19.931550	19.931561	19.931561	19.931563	19.931562	19.931562	19.931555	19.931560	19.931562	19.931562	19.931562	19.931563	19.931555	19.931554	19.931558	19.931562	19.931561	19.931562	19.931562	19.931562	19.931563	19.931561	19.931559	19.931561	19.931554	19.931561	19.931556	19.931561	19.931552	19.931562	19.931562	19.931556	19.931563	19.931562	19.931562	19.931563	19.931555	19.931562	19.931555	19.931563	19.931562	19.931561	19.931561	19.931561	19.931555	19.931562	19.931562	19.931553	19.931563	19.931563	19.931523	19.931562	19.931563	19.931556	19.931562	19.931562	19.931556	19.931562	19.931550	19.931556	19.931561	19.931557	19.931563	19.931556	19.931562	19.931563	19.931562	19.931562	19.931562	19.931562	19.931562	19.931561	19.931557	19.931561	19.931563	19.931556	19.931552	19.931563	19.931561	19.931562	19.931562	19.931556	19.931561	19.931553	19.931561	19.931561	19.931562	19.931563	19.931562	19.931556	19.931562	19.931555	19.931562	19.931556	19.931553	19.931562	19.931555	19.931562	19.931563	19.931555	19.931555	19.931556	19.931562	19.931562	19.931563	19.931561	19.931561	19.931562	19.931561	19.931563	19.931561	19.931563	19.931555	19.931562	19.931562	19.931560	19.931562	19.931562	19.931561	19.931563	19.931556	19.931555	19.931561	19.931560	19.931562	19.931556	19.931556	19.931553	19.931561	19.931562	19.931562	19.931561	19.931563	19.931561	19.931563	19.931562	19.931555	19.931555	19.931561	19.931554	19.931554	19.931562	19.931554	19.931561	19.931555	19.931563	19.931555	19.931557	19.931562	19.931556	19.931563	19.931560	19.931562	19.931559	19.931562	19.931563	19.931562	19.931555	19.931561	19.931561	19.931555	19.931562	19.931562	19.931561	19.931555	19.931557	19.931556	19.931562	19.931562	19.931556	19.931563	19.931523	19.931563	19.931561	19.931567	19.931567	19.931567	19.931566	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931566	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931567	19.931566	19.931567	19.931566	19.931567	19.931567	19.931567	19.931567	19.931566	19.931567	19.931567	19.931567	19.931567
k_taxa_Fungi	-2.772732	-2.869640	-2.829424	-2.870751	-2.922719	-3.024149	-3.102850	-3.007568	3.986394	-0.595218	3.287345	3.507073	3.388657	2.967656	3.528622	3.310775	3.385367	2.812647	3.292397	3.667088	3.356206	1.954344	2.945704	3.757344	3.195906	3.386452	3.358453	3.604471	3.333195	3.351515	3.443477	3.272798	3.512134	3.549788	3.534595	3.614544	1.237353	3.291888	3.796861	1.138866	3.264567	3.205855	2.971815	10.552189	2.493929	3.398847	3.536703	3.150413	3.320975	3.102911	3.452956	3.085245	3.147674	3.043847	3.390380	3.045895	3.337506	4.451156	3.213891	3.337739	4.420804	2.840897	2.958162	3.087598	3.239143	3.307858	3.324729	4.180442	3.152207	3.051650	3.347280	3.328463	4.457355	3.433591	3.277379	3.675617	3.383468	3.328811	3.572470	3.405955	3.389382	7.907813	3.844436	3.427835	3.367776	6.495711	3.438619	3.484000	3.176341	3.357004	3.265371	3.704779	3.388596	7.000830	3.531556	6.333748	3.479584	3.538378	5.784681	3.851250	3.248875	3.515958	3.170900	3.654135	3.473610	3.529755	6.027121	4.803009	3.326175	3.410734	3.261133	3.399090	4.320601	3.018211	3.452703	3.477333	4.777857	3.473866	3.393167	3.406812	3.457672	3.165505	3.145860	3.411164	3.517510	3.253188	3.394076	4.924540	3.241242	3.505762	3.406812	3.000138	3.026275	5.499287	3.486941	3.312379	3.037105	6.486627	3.144124	4.265177	3.412269	3.578111	6.129859	3.741782	3.011006	3.433560	3.701022	2.990749	3.336631	3.511805	3.243235	3.400796	3.418025	3.458750	4.040306	3.525761	4.331306	3.656025	3.615003	3.554764	3.347369	3.459416	3.665696	3.381362	3.405863	3.359460	3.776750	3.289516	4.324989	3.856674	3.464217	3.411164	3.321927	3.469545	3.391046	3.528756	6.338177	3.401802	3.435713	3.524599	3.461990	3.441500	3.472200	3.408618	4.045776	3.412239	3.673775	3.307743	3.523802	3.467724	3.302695	3.172252	3.464121	3.694022	7.899522	3.073927	3.282733	4.609217	3.559893	3.428860	3.313125	3.404518	3.402107	4.328173	3.032872	4.596317	7.025429	3.704742	3.709226	3.306487	3.712097	4.179344	3.459258	3.785357	3.708848	5.506352	3.660834	3.236992	4.904958	3.516519	3.151823	3.407057	5.771539	6.023738	4.163745	3.480260	3.435681	3.518667	3.397569	3.862789	3.282873	3.442316	3.465109	3.526094	3.651667	4.277659	6.134109	3.620742	3.399547	3.465874	3.136923	3.321927	3.242307	3.279395	3.079111	3.043467	2.199718	2.193185	1.886427	3.245478	2.268969	2.017229	2.975464	3.002541	3.264595	2.190996	2.201496	2.163319	3.165919	2.136949	1.891642	2.798104	3.324816	1.937933	2.018784	2.135731	3.583012	2.266273	2.197546	1.691028	1.888872	2.020913	3.169809	2.491477	1.933506	1.958352	1.980738	1.797161	3.134160	3.199984	2.794056	1.922067	2.211978	1.922176	2.071245	1.931689	1.738447	2.132678	2.560285	2.300376	3.300277	2.214721	3.018491	2.161485	3.421082	1.991311	1.956067	3.073878	1.722648	1.964285	2.038171	1.701651	3.138600	2.008530	3.183454	1.827389	1.911695	2.129190	2.232483	2.162582	3.178038	2.012635	2.038823	3.305602	1.837139	1.831686	4.941198	2.028145	1.681297	3.016856	1.960271	1.994378	3.005666	2.031432	3.587827	3.011959	2.197334	2.934432	1.613714	3.024137	2.048531	1.615101	1.927040	1.966381	1.911402	1.913639	1.995470	2.196699	2.902777	2.130541	1.787896	2.974012	3.415868	1.849388	2.138384	1.969576	1.981730	3.005851	2.142773	3.306316	2.116009	2.189153	1.930610	1.604796	2.058244	2.968943	1.923369	3.132109	1.967328	3.001523	3.305887	2.062685	3.187785	1.886661	1.844126	3.126479	3.108574	3.014825	1.920635	2.007103	1.604112	2.255762	2.150784	2.014464	2.306130	1.741676	2.152810	1.735600	3.171264	1.969598	1.952991	2.382686	2.057523	2.009948	2.165854	1.846438	3.068035	3.136619	2.258742	2.378629	2.029652	3.027404	3.081918	3.319506	2.147956	1.915064	1.901590	2.233379	1.842728	2.145707	1.836366	2.009773	3.086519	3.121599	2.290603	3.267398	3.251813	1.939426	3.204631	2.126240	3.172304	1.717524	3.195087	2.898338	2.015082	2.995459	1.690898	2.488025	2.042539	2.558210	1.982927	1.748679	2.048650	3.168044	2.123119	2.149453	3.111838	1.940278	1.959878	2.136911	3.173865	2.940888	2.977621	2.050705	2.045145	3.020152	1.838522	4.951339	1.823748	2.296034	-0.853677	-0.537883	-0.797099	-0.093991	-1.574067	-0.780507	-1.520688	-1.480604	-0.692303	-1.555564	-0.597890	-0.677340	-1.440870	-1.176536	-0.614400	-1.028032	-1.975468	-1.635986	-0.844584	-0.663804	-1.520907	-1.058407	-1.239817	-0.788822	-0.852161	-1.489109	-0.465606	-1.629015	-1.597283	-1.281538	-0.227944	-1.419020	-0.968612	-0.738098	-1.317805	-0.253538	-0.893742	-1.333709	-0.891597	-0.794915	-1.994826	-0.844391	-0.445206	-0.421741	-0.378632	-1.558816	-1.522122	-0.803375	0.151842	-1.282456	-0.075421	-1.186845	-1.280629	-0.859206	-1.418396	-0.100023	-1.056221	-1.166052	-1.487995	-1.357374
